 -Devices.Illumination@1f32e575| Electricity:160| Water:0| Money:0
 -Devices.Computer@4fca772d| Electricity:120| Water:0| Money:0
 -Devices.Illumination@9807454| Electricity:160| Water:0| Money:0
 -Devices.Blinds@3d494fbf| Electricity:80| Water:0| Money:0
 -Devices.Heater@1ddc4ec2| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@133314b| Electricity:700| Water:0| Money:0
 -Devices.Computer@b1bc7ed| Electricity:120| Water:0| Money:0
 -Devices.Illumination@7cd84586| Electricity:160| Water:0| Money:0
 -Devices.Blinds@30dae81| Electricity:80| Water:0| Money:0
 -Devices.Heater@1b2c6ec2| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@4edde6e5| Electricity:700| Water:0| Money:0
 -Devices.Computer@70177ecd| Electricity:120| Water:0| Money:0
 -Devices.Illumination@1e80bfe8| Electricity:160| Water:0| Money:0
 -Devices.Blinds@66a29884| Electricity:80| Water:0| Money:0
 -Devices.Heater@4769b07b| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@cc34f4d| Electricity:700| Water:0| Money:0
 -Devices.Computer@17a7cec2| Electricity:120| Water:0| Money:0
 -Devices.Illumination@65b3120a| Electricity:160| Water:0| Money:0
 -Devices.Blinds@6f539caf| Electricity:80| Water:0| Money:0
 -Devices.Heater@79fc0f2f| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@50040f0c| Electricity:700| Water:0| Money:0
 -Devices.Computer@2dda6444| Electricity:120| Water:0| Money:0
 -Devices.Illumination@5e9f23b4| Electricity:160| Water:0| Money:0
 -Devices.Blinds@4783da3f| Electricity:80| Water:0| Money:0
 -Devices.Heater@378fd1ac| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@49097b5d| Electricity:700| Water:0| Money:0
 -Devices.Fridge@6e2c634b| Electricity:200| Water:0| Money:0
 -Devices.Microwave@37a71e93| Electricity:100| Water:0| Money:0
 -Devices.Plate@7e6cbb7a| Electricity:140| Water:0| Money:0
 -Devices.Teapot@7c3df479| Electricity:40| Water:20| Money:0
 -Devices.Illumination@7106e68e| Electricity:160| Water:0| Money:0
 -Devices.Blinds@7eda2dbb| Electricity:80| Water:0| Money:0
 -Devices.Heater@6576fe71| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@76fb509a| Electricity:700| Water:0| Money:0
 -Devices.Computer@300ffa5d| Electricity:120| Water:0| Money:0
 -Devices.Illumination@1f17ae12| Electricity:160| Water:0| Money:0
 -Devices.Blinds@4d405ef7| Electricity:80| Water:0| Money:0
 -Devices.Heater@6193b845| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@2e817b38| Electricity:700| Water:0| Money:0
 -Devices.Fridge@c4437c4| Electricity:200| Water:0| Money:0
 -Devices.Microwave@433c675d| Electricity:100| Water:0| Money:0
 -Devices.Plate@3f91beef| Electricity:140| Water:0| Money:0
 -Devices.Teapot@1a6c5a9e| Electricity:40| Water:20| Money:0
 -Devices.Illumination@37bba400| Electricity:160| Water:0| Money:0
 -Devices.Blinds@179d3b25| Electricity:80| Water:0| Money:0
 -Devices.Heater@254989ff| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@5d099f62| Electricity:700| Water:0| Money:0
 -Devices.Computer@37f8bb67| Electricity:120| Water:0| Money:0
 -Devices.Illumination@49c2faae| Electricity:160| Water:0| Money:0
 -Devices.Blinds@20ad9418| Electricity:80| Water:0| Money:0
 -Devices.Heater@31cefde0| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@439f5b3d| Electricity:700| Water:0| Money:0
 -Devices.Fridge@1d56ce6a| Electricity:200| Water:0| Money:0
 -Devices.Microwave@5197848c| Electricity:100| Water:0| Money:0
 -Devices.Plate@17f052a3| Electricity:140| Water:0| Money:0
 -Devices.Teapot@2e0fa5d3| Electricity:40| Water:20| Money:0
 -Devices.Illumination@5010be6| Electricity:160| Water:0| Money:0
 -Devices.Blinds@685f4c2e| Electricity:80| Water:0| Money:0
 -Devices.Heater@7daf6ecc| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@2e5d6d97| Electricity:700| Water:0| Money:0
 -Devices.Computer@238e0d81| Electricity:120| Water:0| Money:0
 -Devices.Illumination@31221be2| Electricity:160| Water:0| Money:0
 -Devices.Blinds@377dca04| Electricity:80| Water:0| Money:0
 -Devices.Heater@728938a9| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@21b8d17c| Electricity:700| Water:0| Money:0
 -Devices.Fridge@6433a2| Electricity:200| Water:0| Money:0
 -Devices.Microwave@5910e440| Electricity:100| Water:0| Money:0
 -Devices.Plate@6267c3bb| Electricity:140| Water:0| Money:0
 -Devices.Teapot@533ddba| Electricity:40| Water:20| Money:0
 -Devices.Illumination@246b179d| Electricity:160| Water:0| Money:0
 -Devices.Blinds@7a07c5b4| Electricity:80| Water:0| Money:0
 -Devices.Heater@26a1ab54| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@3d646c37| Electricity:700| Water:0| Money:0
 -Devices.Fridge@41cf53f9| Electricity:200| Water:0| Money:0
 -Devices.Microwave@5a10411| Electricity:100| Water:0| Money:0
 -Devices.Plate@2ef1e4fa| Electricity:140| Water:0| Money:0
 -Devices.Teapot@306a30c7| Electricity:40| Water:20| Money:0
 -Devices.Illumination@b81eda8| Electricity:160| Water:0| Money:0
 -Devices.Blinds@68de145| Electricity:80| Water:0| Money:0
 -Devices.Heater@27fa135a| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@46f7f36a| Electricity:700| Water:0| Money:0
 -Devices.Fridge@421faab1| Electricity:200| Water:0| Money:0
 -Devices.Microwave@2b71fc7e| Electricity:100| Water:0| Money:0
 -Devices.Plate@5ce65a89| Electricity:140| Water:0| Money:0
 -Devices.Teapot@25f38edc| Electricity:40| Water:20| Money:0

totalElectricity: 40200| totalWater: 220| TotalMoney: 15000
